Date,Corridor,Delay_Type,Minutes_Delayed
2023-01-01,North-South,mechanical,33.0
2023-01-01,North-South, weather ,
2023-01-01,North-South,traffic,28.0
2023-01-01,North-South,staff,37.0
2023-01-01,North-South,signal,41.0
2023-01-01,North-South,accident,29.0
2023-01-01,East-West, weather ,32.0
2023-01-01,East-West,traffic,34.0
2023-01-01,East-West,staff,37.0
2023-01-01,East-West,signal,31.0
2023-01-01,East-West,accident,34.0
2023-01-01,Central,mechanical,30.0
2023-01-01,Central, weather ,36.0
2023-01-01,Central,traffic,37.0
2023-01-01,Central,staff,32.0
2023-01-01,Central,signal,38.0
2023-01-01,Central,accident,27.0
2023-01-01,Coastal,mechanical,31.0
2023-01-01,Coastal, weather ,32.0
2023-01-01,Coastal,traffic,36.0
2023-01-01,Coastal,staff,26.0
2023-01-01,Coastal,signal,22.0
2023-01-01,Coastal,accident,33.0
2023-01-01,Mountain, weather ,41.0
2023-01-01,Mountain,traffic,31.0
2023-01-01,Mountain,staff,28.0
2023-01-01,Mountain,signal,40.0
2023-01-01,Mountain,accident,38.0
2023-01-01,Valley,mechanical,40.0
2023-01-01,Valley, weather ,33.0
2023-01-01,Valley,,42.0
2023-01-01,Valley,signal,32.0
2023-01-01,Valley,accident,32.0
2023-01-02,North-South,mechanical,39.0
2023-01-02,North-South, weather ,43.0
2023-01-02,North-South,staff,
2023-01-02,North-South,signal,39.0
2023-01-02,North-South,accident,40.0
2023-01-02,East-West,mechanical,
2023-01-02,East-West, weather ,32.0
2023-01-02,East-West,traffic,44.0
2023-01-02,East-West,staff,33.0
2023-01-02,East-West,signal,30.0
2023-01-02,East-West,accident,31.0
2023-01-02,Central,mechanical,45.0
2023-01-02,Central, weather ,37.0
2023-01-02,Central,traffic,40.0
2023-01-02,Central,staff,43.0
2023-01-02,Central,signal,32.0
2023-01-02,Coastal,mechanical,30.0
2023-01-02,Coastal, weather ,34.0
2023-01-02,Coastal,traffic,27.0
2023-01-02,Coastal,staff,46.0
2023-01-02,Coastal,signal,35.0
2023-01-02,Coastal,accident,33.0
2023-01-02,Mountain, weather ,49.0
2023-01-02,Mountain,,35.0
2023-01-02,Mountain,staff,31.0
2023-01-02,Mountain,signal,37.0
2023-01-02,Mountain,accident,23.0
2023-01-02,Valley,mechanical,44.0
2023-01-02,Valley, weather ,28.0
2023-01-02,Valley,traffic,38.0
2023-01-02,Valley,staff,30.0
2023-01-02,Valley,signal,33.0
2023-01-03,North-South, weather ,37.0
2023-01-03,North-South,traffic,32.0
2023-01-03,North-South,staff,38.0
2023-01-03,North-South,accident,35.0
2023-01-03,East-West,mechanical,37.0
2023-01-03,East-West, weather ,38.0
2023-01-03,East-West,traffic,46.0
2023-01-03,East-West,staff,32.0
2023-01-03,East-West,signal,31.0
2023-01-03,Central,mechanical,41.0
2023-01-03,Central, weather ,35.0
2023-01-03,Central,staff,43.0
2023-01-03,Central,signal,32.0
2023-01-03,Central,accident,37.0
2023-01-03,Coastal,mechanical,29.0
2023-01-03,Coastal, weather ,37.0
2023-01-03,Coastal,,27.0
2023-01-03,Coastal,staff,36.0
2023-01-03,Coastal,signal,37.0
2023-01-03,Coastal,accident,39.0
2023-01-03,Mountain, weather ,32.0
2023-01-03,Mountain,signal,37.0
2023-01-03,Mountain,accident,38.0
2023-01-03,Valley,mechanical,26.0
2023-01-03,Valley, weather ,
2023-01-03,Valley,traffic,43.0
2023-01-03,Valley,staff,40.0
2023-01-03,Valley,signal,36.0
2023-01-03,Valley,accident,29.0
2023-01-04,North-South,mechanical,31.0
2023-01-04,North-South,staff,37.0
2023-01-04,North-South,signal,44.0
2023-01-04,North-South,accident,34.0
2023-01-04,East-West,traffic,31.0
2023-01-04,East-West,staff,42.0
2023-01-04,East-West,signal,29.0
2023-01-04,East-West,accident,46.0
2023-01-04,Central,mechanical,36.0
2023-01-04,Central, weather ,28.0
2023-01-04,Central,traffic,42.0
2023-01-04,Central,staff,38.0
2023-01-04,Central,signal,33.0
2023-01-04,Central,accident,35.0
2023-01-04,Coastal,mechanical,40.0
2023-01-04,Coastal,staff,38.0
2023-01-04,Coastal,signal,43.0
2023-01-04,Coastal,accident,33.0
2023-01-04,Mountain,traffic,36.0
2023-01-04,Mountain,staff,34.0
2023-01-04,Mountain,signal,31.0
